JobTitle,Classification,Date
                    Data Protection and Backup Administrator,Database Development,25-07-13
                    Data Protection and Backup Administrator,Database Development,25-07-13
                    Data Protection and Backup Administrator,Database Development,25-07-13
                    Data Protection and Backup Administrator,Database Development,25-07-13
                    Data Protection and Backup Administrator,Database Development,25-07-13
                    Data Protection and Backup Administrator,Database Development,25-07-13
                    Data Protection and Backup Administrator,Database Development,25-07-13
                    Data Protection and Backup Administrator,Database Development,25-07-13
                    Data Protection and Backup Administrator,Database Development,25-07-13
                    Data Protection and Backup Administrator,Database Development,25-07-13
                    Web & Intranet programmer,Developer,25-07-13
                   Applications Administrator,Developer,18-07-13
                   Principal Investigator,Security,18-07-13
                    Digital Publishing Administrator,Engineering,18-07-13
                   Multimedia Specialist,Telecommunications,18-07-13
                    Engineering Manager,Developer,18-07-13
                    Engineering Manager,Developer,18-07-13
                   Engineering Manager,Developer,18-07-13
                   Communications Technician,Engineering,18-07-13
                   Complaints Resolution Officer/s,Architects,18-07-13
                    Trade Marks Product Quality Reviewer,Testing and Quality,18-07-13
                    Aurion System Administrator,Engineering,18-07-13
                   Social Media and Web Officer,Developer,18-07-13
                    Engineering Manager,Developer,11-07-13
                    Director - Registration and Assessment/Assisted Voluntary Resolution,Architects,11-07-13
"                    Manager, Data",Database Development,11-07-13
                    Data Entry Officer,Database Development,11-07-13
                    Administrator,Engineering,11-07-13
                    Messengerial Attendants (expected employment opportunity),Developer,11-07-13
                    Application Enhancement Manager,Developer,11-07-13
                   Director ICT Procurement and Vendor Management,Developer,04-07-13
                    Director Business Solutions,Architects,04-07-13
                   Data Management Officer,Database Development,04-07-13
                    Front of House Team Leader,Developer,04-07-13
                   Team Leader - TM1 Developer/Administrator,Developer,04-07-13
                  ICT Graduate - Data Warehouse,Database Development,04-07-13
                    Data Warehouse Developer,Database Development,04-07-13
                   Web Administrator,Developer,04-07-13
                   Web Administrator,Developer,04-07-13
                   Web Administrator,Developer,04-07-13
                   Web Administrator,Developer,04-07-13
                   Web Administrator,Developer,04-07-13
                   Web Administrator,Developer,04-07-13
                   Web Administrator,Developer,04-07-13
                   Web Administrator,Developer,04-07-13
                   Web Administrator,Developer,04-07-13
                   Web Administrator,Developer,04-07-13
                   Web Administrator,Developer,04-07-13
                   Web Administrator,Developer,04-07-13
                   Web Administrator,Developer,04-07-13
                   Web Administrator,Developer,04-07-13
                   Web Administrator,Developer,04-07-13
                   Web Administrator,Developer,04-07-13
                    Software Developer,Developer,04-07-13
                    IT Midrange Application Developer,Developer,04-07-13
"                    Manager, Network & Infrastructure",Developer,27-06-13
                    System Engineer,Developer,27-06-13
                    Director Infrastructure Work Health & Safety,Engineering,27-06-13
                   Web/Drupal Developer,Developer,27-06-13
                    IT Security Administrator,Engineering,27-06-13
"                    Director, Data Modelling",Database Development,27-06-13
                    Support Unit,Testing and Quality,27-06-13
                   Data & Compliance Officer,Database Development,27-06-13
                   Junior Software Engineer,Developer,27-06-13
                   Investigators,Security,27-06-13
                   Information Designer,Telecommunications,27-06-13
                   Information Designer,Telecommunications,27-06-13
                    Investigator,Security,20-06-13
                    Media Assistant,Telecommunications,20-06-13
                   Fair Work Inspector - Assisted Voluntary Resolution,Architects,20-06-13
                    Data Manager,Database Development,20-06-13
                   Manager - Risk Operations and Data Management,Database Development,20-06-13
                   Transport Safety Investigator - LAME,Security,20-06-13
                    ICT Infrastructure Manager,Engineering,20-06-13
                    ICT Infrastructure Manager,Engineering,20-06-13
                    ICT Infrastructure Manager,Engineering,20-06-13
                    ICT Infrastructure Manager,Engineering,20-06-13
"                   Economist, Data and Statistics Program",Database Development,20-06-13
                    Data Entry Operator,Database Development,20-06-13
                    Data Entry Operator,Database Development,20-06-13
                    Data Entry Operator,Database Development,20-06-13
                    Data Entry Operator,Database Development,20-06-13
                    Data Entry Operator,Database Development,20-06-13
                    Data Entry Operator,Database Development,20-06-13
                    Data Entry Operator,Database Development,20-06-13
                    Data Entry Operator,Database Development,20-06-13
                    Data Entry Operator,Database Development,20-06-13
                    Data Entry Operator,Database Development,20-06-13
                    Data Entry Operator,Database Development,20-06-13
                    Data Entry Operator,Database Development,20-06-13
                    Data Entry Operator,Database Development,20-06-13
                    Data Entry Operator,Database Development,20-06-13
                    Data Entry Operator,Database Development,20-06-13
                    Director Network Regulation Branch,Developer,20-06-13
                   Director AER Network Operations and Development Branch,Developer,20-06-13
                   SAP ABAP Developer,Developer,20-06-13
                    Engineering Manager,Developer,13-06-13
                    Director - Network Architect - National Telepresence System,Architects,13-06-13
                    APS6/EL1 Corporate Positions (expected employment opportunity),Testing and Quality,13-06-13
                     APS6/EL1 Access Examiners (expected employment opportunity),Testing and Quality,13-06-13
                     APS6/EL1 Access Examiners (expected employment opportunity),Testing and Quality,13-06-13
                     Executive Assistant/Administrator,Engineering,13-06-13
                    Team Leader Online Applications,Developer,13-06-13
                   VMware & SAN Support Engineer,Developer,13-06-13
                    Hierarchical Storage Administrator,Engineering,13-06-13
                   Complaints Resolution Support Officer,Architects,13-06-13
                    IT Application Developer,Developer,13-06-13
                   IT Application Developer,Developer,13-06-13
                   IT Application Developer,Developer,13-06-13
                   IT  Application Developer,Developer,13-06-13
                    Investigator,Security,06-06-13
                   Security Performance Reviewer,Security,06-06-13
                   Mainframe System Administrator (expected employment opportunity),Engineering,06-06-13
                   Data Project Officer,Database Development,06-06-13
                    Data Production and Data Strategy Officer,Database Development,06-06-13
                    Business Analyst (Data Architecture),Architects,06-06-13
                    Web Administrator,Developer,06-06-13
                   Content Administrator / Communications,Engineering,06-06-13
                  Voice and Data Network Engineer,Database Development,06-06-13
                   Controls Technician,Engineering,06-06-13
                   Controls Technician,Engineering,06-06-13
                   Controls Technician,Engineering,06-06-13
                   Laboratory Technician,Engineering,06-06-13
                   Laboratory Technician,Engineering,06-06-13
                   Laboratory Technician,Engineering,06-06-13
                   Laboratory Technician,Engineering,06-06-13
                   Laboratory Technician,Engineering,06-06-13
                   Laboratory Technician,Engineering,06-06-13
                   Laboratory Technician,Engineering,06-06-13
                   Laboratory Technician,Engineering,06-06-13
                   Laboratory Technician,Engineering,06-06-13
                   Laboratory Technician,Engineering,06-06-13
                   Database Administrator,Database Development,06-06-13
                   Database Administrator,Database Development,06-06-13
                    Customs and Border Protection Marine Unit 1st Engineer (Bay Class Vessel),Developer,30-05-13
                    Various Opportunities (expected employment opportunity),Testing and Quality,30-05-13
                    Applications Developer,Developer,30-05-13
                   Casual Electronics Technician,Engineering,30-05-13
                    Lending Officer,Developer,30-05-13
                    Satellite Data Assimilation Scientist,Database Development,30-05-13
                    Upper Air Engineering Manager,Developer,30-05-13
                    Remote Sensing Engineering Manager,Developer,30-05-13
                   Data Ingestion Coordinator,Database Development,30-05-13
                    Mechanical Designer,Engineering,30-05-13
                    Investigator,Security,23-05-13
                    Application Developer,Developer,23-05-13
                    Chief Engineer,Developer,23-05-13
                    Electrical Engineer,Developer,23-05-13
                    EL1 Historian Specialist (expected employment opportunity),Testing and Quality,23-05-13
                    Media Preparation Technician,Engineering,23-05-13
                    Media Preparation Technician,Engineering,23-05-13
                    Enterprise Architecture Manager,Architects,23-05-13
                    Enterprise Solution Architect,Architects,23-05-13
                    Web Integrator,Developer,23-05-13
                    Web Developer,Developer,23-05-13
"                    Communication & Public Relations Specialists, Web Content Manager, Knowledge",Developer,23-05-13
                    Marine Scientist - Habitat Mapping and Data Management,Database Development,23-05-13
                    Marine Scientist - Habitat Mapping and Data Management,Database Development,23-05-13
                    Marine Scientist - Habitat Mapping and Data Management,Database Development,23-05-13
                    Marine Scientist - Habitat Mapping and Data Management,Database Development,23-05-13
                    Marine Scientist - Habitat Mapping and Data Management,Database Development,23-05-13
                    Marine Scientist - Habitat Mapping and Data Management,Database Development,23-05-13
                    Marine Scientist - Habitat Mapping and Data Management,Database Development,23-05-13
                    Marine Scientist - Habitat Mapping and Data Management,Database Development,23-05-13
                    Marine Scientist - Habitat Mapping and Data Management,Database Development,23-05-13
                    Marine Scientist - Habitat Mapping and Data Management,Database Development,23-05-13
                    COMP IT Developer,Developer,23-05-13
"                    Manager, Water Data Modelling Unit",Database Development,23-05-13
                  Investigator,Security,23-05-13
                   Office Administrator,Engineering,16-05-13
                    Domestic (expected employment opportunity),Testing and Quality,16-05-13
                    Domestic (expected employment opportunity),Testing and Quality,16-05-13
                    Various Opportunities,Testing and Quality,16-05-13
                   Web Manager and Graphic Designer,Developer,16-05-13
                    Strategic Communication Specialist,Telecommunications,16-05-13
                    Education Assistant (expected employment opportunity),Testing and Quality,16-05-13
                    Front of House,Developer,16-05-13
                    Web Service Developer,Developer,16-05-13
                   Lotus Notes Developer,Developer,16-05-13
                   Investigator,Security,16-05-13
                   EL1 Teradata Developer,Database Development,16-05-13
                    Various Opportunities,Testing and Quality,09-05-13
                    Various Opportunities,Testing and Quality,09-05-13
                    Various Opportunities,Testing and Quality,09-05-13
                    User Acceptance Test Automation Specialist,Testing and Quality,09-05-13
                    Investigator,Security,09-05-13
                   Signals Intel (Snr) Technologist,Telecommunications,09-05-13
                   FCCMP Programmer,Developer,09-05-13
                   FCCMP Programmer,Developer,09-05-13
                   Citrix and VMware Administrator,Engineering,09-05-13
                   Windows Messaging and Active Directory System Administrator,Engineering,09-05-13
                    Applications Developer,Developer,09-05-13
                   Data Warehouse Developer,Database Development,09-05-13
                    Network Engineer,Developer,09-05-13
                    Mechanical Engineer,Developer,02-05-13
                    Mechanical Engineer,Developer,02-05-13
                    Mechanical Engineer,Developer,02-05-13
                    Night Attendant,Developer,02-05-13
                    Night Attendant,Developer,02-05-13
                   Weekend Cook,Developer,02-05-13
                   Weekend Cook,Developer,02-05-13
                   Weekend Cook,Developer,02-05-13
                   Weekend Cook,Developer,02-05-13
                   Weekend Cook,Developer,02-05-13
                    Security Assistant - G20 Taskforce,Security,02-05-13
                    Principal Investigator,Security,02-05-13
                   Application Developer,Developer,02-05-13
                   Electronics Engineer,Developer,25-04-13
                   Aerospace Engineer,Developer,25-04-13
                   Project Communications Engineer,Developer,25-04-13
                   Project Communications Engineer,Developer,25-04-13
                   IT Developer Programmer,Developer,25-04-13
                   Geospatial Operations Technician,Engineering,25-04-13
                   Army Web Manager,Developer,25-04-13
                    Database Administrator,Database Development,25-04-13
                   Casual Employee Bendigo/ Wendouree (Ballarat),Developer,25-04-13
                   Casual Employee Bendigo/ Wendouree (Ballarat),Developer,25-04-13
                   Casual Employee Bendigo/ Wendouree (Ballarat),Developer,25-04-13
                   Casual Employee Bendigo/ Wendouree (Ballarat),Developer,25-04-13
                   Casual Employee Bendigo/ Wendouree (Ballarat),Developer,25-04-13
                   Casual Employee Bendigo/ Wendouree (Ballarat),Developer,25-04-13
                   Casual Employee Bendigo/ Wendouree (Ballarat),Developer,25-04-13
                   Casual Employee Bendigo/ Wendouree (Ballarat),Developer,25-04-13
                   Casual Employee Bendigo/ Wendouree (Ballarat),Developer,25-04-13
                    IT Asset Management Administrator,Engineering,25-04-13
                    Contract Administrator,Engineering,25-04-13
                   Junior Java Developer,Developer,25-04-13
                   Web Information and Communications Manager,Developer,25-04-13
                    Software Configuration Manager,Developer,25-04-13
"                    Supervisor, Transport (expected employment opportunity)",Testing and Quality,25-04-13
"                   Supervisor, Messengerial Attendants (expected employment opportunity)",Developer,25-04-13
"                   Supervisor, Messengerial Attendants (expected employment opportunity)",Developer,25-04-13
"                    APS 5, TRIM Administrator",Engineering,25-04-13
"                    APS 5, TRIM Administrator",Engineering,25-04-13
"                    APS 5, TRIM Administrator",Engineering,25-04-13
"                    APS 5, TRIM Administrator",Engineering,25-04-13
"                    APS 5, TRIM Administrator",Engineering,25-04-13
"                    APS 5, TRIM Administrator",Engineering,25-04-13
"                    APS 5, TRIM Administrator",Engineering,25-04-13
"                    APS 5, TRIM Administrator",Engineering,25-04-13
"                    APS 5, TRIM Administrator",Engineering,25-04-13
"                    APS 5, TRIM Administrator",Engineering,25-04-13
                   Permit Application Assessor (Research) (expected employment opportunity),Developer,25-04-13
                   ECM Administrator,Engineering,25-04-13
                   IT Midrange Application Developer,Developer,25-04-13
                    Database and Web Specialist,Database Development,25-04-13
                    Director Business Solutions,Architects,18-04-13
                    Engineering Manager (expected employment opportunity),Developer,18-04-13
                    Diagnostic Imaging Medical Physicist or Radiographer,Telecommunications,18-04-13
                    Developer IT Applications,Developer,18-04-13
                    Software Tester,Developer,18-04-13
                    SQL Server Database Administrator,Database Development,18-04-13
                    Windows Server & Desktop Administrator,Engineering,18-04-13
                    Software Asset Manager,Developer,18-04-13
                    Geospatial Administrator,Engineering,18-04-13
                    Geospatial Administrator,Engineering,18-04-13
                    Geospatial Administrator,Engineering,18-04-13
                    Geospatial Administrator,Engineering,18-04-13
                    Geospatial Administrator,Engineering,18-04-13
                    Geospatial Administrator,Engineering,18-04-13
                    Geospatial Administrator,Engineering,18-04-13
                    Geospatial Administrator,Engineering,18-04-13
                    Geospatial Administrator,Engineering,18-04-13
                    Geospatial Administrator,Engineering,18-04-13
                    Geospatial Administrator,Engineering,18-04-13
                    Geospatial Administrator,Engineering,18-04-13
                    Environmental Data / Metadata Coordinator,Database Development,18-04-13
                    Communications Technician,Engineering,11-04-13
                   Mechanical Technician,Engineering,11-04-13
                   Mechanical Technician,Engineering,11-04-13
                   IT Web Developer,Developer,11-04-13
                   Form & Document Developer,Developer,11-04-13
                   Applications Developer,Developer,11-04-13
                   Web Accessibility Developer,Developer,11-04-13
                    Web Architect,Architects,11-04-13
"                   EL 2 Director, Database Services Branch",Database Development,11-04-13
                   Space Weather Observer/Scientist/Engineer,Developer,11-04-13
                   Feedback Management Officer,Database Development,11-04-13
                    Various Opportunities (Multiple Positions),Testing and Quality,04-04-13
                    Database Designer and Administrator,Database Development,04-04-13
                    Solutions Developer,Architects,04-04-13
"                    Director, Data Acquision",Database Development,04-04-13
                   SQL Database Administrator,Database Development,04-04-13
                   SQL Database Administrator,Database Development,04-04-13
                    Charting and Data Assistant,Database Development,04-04-13
                    Case Management System Quality Assurance and Data Entry Officer,Database Development,28-03-13
                    Supervisor Investigations (expected employment opportunity),Security,28-03-13
                    Assistant Investigator (expected employment opportunity),Security,28-03-13
                    Naval Architect,Architects,28-03-13
                    Mechanical Engineer,Developer,28-03-13
                    Assistant Director Counter Network Strategies - ADF Counter Improvised Explosive,Developer,28-03-13
                    Test Co-ordinator,Testing and Quality,28-03-13
                   ICT Contract Administrator,Engineering,28-03-13
                    Infrastructure Architect,Architects,28-03-13
                    Electronics Engineer,Developer,28-03-13
"                    Director, Enterprise Test & Release Management",Architects,28-03-13
"                    Assistant Secretary, ICT Architecture, Strategy, Planning & Applications",Architects,28-03-13
"                    Assistant Secretary, ICT Architecture, Strategy, Planning & Applications",Architects,28-03-13
                    Graduate Meteorologist (expected employment opportunity),Testing and Quality,28-03-13
                   Network Support Officer,Developer,28-03-13
                   Investigator,Security,28-03-13
                   Level 2 Support Administrator,Engineering,28-03-13
                   Weblogic Administrator,Developer,28-03-13
                   Web and Graphic Designer,Developer,28-03-13
                   Web Design Manager,Developer,28-03-13
                    Mechanical Draftsperson,Engineering,28-03-13
                    Mechanical Draftsperson,Engineering,28-03-13
                    Mechanical Draftsperson,Engineering,28-03-13
                   Deputy Commissioner (expected employment opportunity),Testing and Quality,28-03-13
                    Australian Maritime Information Fusion Cell (AMIFC) Supervisor,Telecommunications,21-03-13
                    Australian Maritime Information Fusion Cell (AMIFC) Supervisor,Telecommunications,21-03-13
                    Fire Engineer,Developer,21-03-13
                    Network Security Administrator,Developer,21-03-13
                    Electronics Technician,Engineering,21-03-13
                    Electronics Technician,Engineering,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                   Research and Database Coordinator,Database Development,21-03-13
                    Applications Officer,Developer,14-03-13
                    Deputy Chief Marine Engineer,Developer,14-03-13
                    Deputy Chief Marine Engineer,Developer,14-03-13
                    Deputy Chief Marine Engineer,Developer,14-03-13
                    Web Publisher,Developer,14-03-13
                    Mechanical Engineer,Developer,14-03-13
                    Aeronautical Engineer,Developer,14-03-13
                    Aeronautical Engineer,Developer,14-03-13
                    Configuration Management Administrator,Engineering,14-03-13
                    Web Manager (expected employment opportunity),Developer,14-03-13
                    Communications Technician,Engineering,14-03-13
                    Communications Technician,Engineering,14-03-13
                    Database Administrator,Database Development,14-03-13
                    Mechanical Engineer,Developer,14-03-13
                    Digital Preservation Engineer,Developer,14-03-13
                    Stack Attendants/Document Supply Officers,Developer,14-03-13
                   Compliance Assurance Manager (Maintenance & Engineering),Developer,07-03-13
                   Online Web Publisher,Developer,07-03-13
                   Weekend Cook,Developer,07-03-13
                    Night Attendant,Developer,07-03-13
                   Night Attendant,Developer,07-03-13
                   Night Attendant,Developer,07-03-13
                    Data Architect,Architects,07-03-13
"                    Principal Director, ICT Infrastructure & Support",Engineering,07-03-13
"                    Director, ICT Application Delivery",Developer,07-03-13
                   Complaints Resolution Manager,Architects,07-03-13
                   Assistant ICT Contract Administrator,Engineering,07-03-13
                  Team Leader Infrastructure Operations,Engineering,07-03-13
                   Application Developer,Developer,07-03-13
                    Web Developer,Developer,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Infrastructure Architect,Architects,07-03-13
                   Investigator,Security,07-03-13
                   Investigator,Security,07-03-13
                    APS 6 Data Management Officer,Database Development,07-03-13
                    APS 6 Data Management Officer,Database Development,07-03-13
                    Customs and Border Protection Marine Unit Chief Engineer (Bay Class Vessel),Developer,28-02-13
                    Content Assessor/Investigator,Security,28-02-13
                   Security Assistant,Security,28-02-13
                   Intelligence and Security Development Program,Security,28-02-13
                    Navy Civilian Engineer Development Program,Developer,28-02-13
                    Navy Civilian Engineer Development Program,Developer,28-02-13
                    Navy Civilian Engineer Development Program,Developer,28-02-13
                    Navy Civilian Engineer Development Program,Developer,28-02-13
                    Investigator,Security,28-02-13
"                   Director, Database Services (expected employment opportunity)",Database Development,28-02-13
"                   Assistant Secretary, Information Access Branch (expected employment opportunity)",Telecommunications,28-02-13
                    FMIS Administrator (expected employment opportunity),Engineering,28-02-13
                   Conservation Technician,Engineering,28-02-13
                   Preventive Conservation Technician,Engineering,28-02-13
"                    Director, Alternative Dispute Resolution",Architects,21-02-13
                   Security Performance Reviewer,Security,21-02-13
                   IT Configuration Control and Software Administrator  CMD&V,Developer,21-02-13
                    Data Specialist,Database Development,21-02-13
                    Tester (expected employment opportunity),Testing and Quality,21-02-13
                    2014 Corporate Graduate Program (expected employment opportunity),Testing and Quality,21-02-13
                    ICT APS 5 Application Developers,Developer,21-02-13
                  Web Administrator,Developer,21-02-13
                  Web Administrator,Developer,21-02-13
                   IT Asset Administrator and Change Coordinator,Engineering,21-02-13
                   Solution Architect,Architects,21-02-13
                   Applications Systems Architect,Architects,21-02-13
                    Animal Attendent,Developer,14-02-13
                    Deputy Chief Engineer,Developer,14-02-13
                   Web Developer,Developer,14-02-13
                    Publications and Web Coordination Officer,Developer,14-02-13
                    Web Developer,Developer,14-02-13
                    Construction & Fitouts Project Administrator,Engineering,14-02-13
                    Construction & Fitouts Project Administrator,Engineering,14-02-13
                  Prototype Developer - APS 6,Developer,14-02-13
                   Software Engineer,Developer,14-02-13
                   Software Engineer,Developer,14-02-13
                    Web Designer,Developer,14-02-13
                  Data Centre Facilities Engineer,Database Development,14-02-13
                   IT Enterprise Architect,Architects,14-02-13
                   IT Architect,Architects,14-02-13
                   Mechanical Fitter - Mint Tradesperson,Engineering,14-02-13
                    Data Storage Engineer (expected employment opportunity),Database Development,07-02-13
                    Oracle Database Engineer (expected employment opportunity),Database Development,07-02-13
                   Network Engineer (expected employment opportunity),Developer,07-02-13
                    VMware and Windows System Engineer (expected employment opportunity),Developer,07-02-13
                   Data Management Team Leader (expected employment opportunity),Database Development,07-02-13
                   System Engineer (expected employment opportunity),Developer,07-02-13
                    Relief Night Attendant,Developer,07-02-13
                    Relief Night Attendant,Developer,07-02-13
                   Data and Reporting Officer,Database Development,07-02-13
                   Investigator,Security,07-02-13
                   Data Officer,Database Development,07-02-13
                    Designs/Trade Marks Product Quality Reviewer,Testing and Quality,07-02-13
                    2014 Graduate (expected employment opportunity),Testing and Quality,07-02-13
"                    Forecaster, Defence Meteorological Support Unit",Testing and Quality,07-02-13
                   IT Application Developer,Developer,07-02-13
                    Facilities Administrator,Engineering,07-02-13
                   Radiographer - EO Armaments Technician,Engineering,31-01-13
                    Webcast and Online Services Manager,Developer,31-01-13
"                   Director, Architecture and Business Systems Development",Architects,31-01-13
                    Divisional Office Clerk (expected employment opportunity),Testing and Quality,31-01-13
                    Divisional Office Clerk (expected employment opportunity),Testing and Quality,31-01-13
                    Senior Dispute Resolution Officer,Architects,31-01-13
                    DHS Shopfront Officer,Developer,31-01-13
                   ADABAS/Natural Developer,Developer,31-01-13
                    Front of House and Galleries Co-ordinator,Developer,31-01-13
                   Applications Manager,Developer,31-01-13
                    Website Publisher,Developer,24-01-13
                    Night Attendant,Developer,24-01-13
                    Web Administrator/Graphic Designer,Developer,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    Investigator,Security,24-01-13
                    IT Software Director,Developer,24-01-13
                    Information Designer,Telecommunications,24-01-13
                    Java Developer,Developer,24-01-13
                    Database Administrator,Database Development,17-01-13
                    Assistant Secretary - Security,Security,17-01-13
"                    APS 6, Raiser’s Edge Database Coordinator",Database Development,17-01-13
"                    Manager, Application Development",Developer,17-01-13
                   IT Application Developer,Developer,17-01-13
                   IT Application Developer,Developer,17-01-13
                   IT Application Developer,Developer,17-01-13
                   Webcast and Online Video Technician,Developer,10-01-13
                    Mediator,Telecommunications,10-01-13
                    Divisional Office Clerk (expected employment opportunity),Testing and Quality,10-01-13
                    Siebel Developer,Developer,10-01-13
                    Software Developer (MS Visual Basic/VBA & Oracle) (expected employment opportunity),Database Development,10-01-13
                    Applications Projects and Support Manager,Developer,10-01-13
                    Various Opportunities,Testing and Quality,20-12-12
                    Customs and Border Protection Marine Unit Engineering Officer (Cape Class Vessel),Developer,20-12-12
                    Web Manager,Developer,20-12-12
                    Project Management Administrator - G20 Taskforce,Engineering,20-12-12
                     Investigator,Security,13-12-12
                    Customs and Border Protection Marine Unit 1st Engineer (Bay Class Vessel),Developer,13-12-12
                    Customs and Border Protection Marine Unit Engineering Officer (Cape Class Vessel),Developer,13-12-12
                    Customs and Border Protection Marine Unit Deputy Engineering Officer  (Cape Class,Developer,13-12-12
                    Information Standards and Metadata Coordinator,Database Development,13-12-12
                    Software Development Manager,Developer,13-12-12
                    Geospatial Applications Specialist,Developer,13-12-12
                    Web Editor,Developer,13-12-12
                    Oracle Developer (UNIX) (expected employment opportunity),Database Development,13-12-12
                   ETL Developer,Developer,13-12-12
                    Solution Designer/Technical Specialist,Architects,06-12-12
"                  Director, Financial Systems Solution",Architects,06-12-12
                    Transport Security Inspector (expected employment opportunity),Security,06-12-12
                    Transport Security Inspector (expected employment opportunity),Security,06-12-12
                    Visitor Services Ranger (Duty Weekend Ranger),Developer,06-12-12
                   Lotus Notes Developer,Developer,06-12-12
                    Applications Development Manager,Developer,06-12-12
                    Application Solution Architect,Architects,29-11-12
                    Application Solution Architect,Architects,29-11-12
                    Application Solution Architect,Architects,29-11-12
                    Web Producer,Developer,29-11-12
                    Avionics Engineer,Developer,29-11-12
                    Collaboration Applications Team Leader,Developer,29-11-12
                    Study in Australia Website Project Officer,Developer,29-11-12
                    Web Developer,Developer,29-11-12
                    Web Administrator,Developer,29-11-12
                    Assistant Web Developer,Developer,29-11-12
                    Mechanical Engineer,Developer,29-11-12
                    Library Information and Services Co-ordinator,Telecommunications,29-11-12
                    Database Administrator,Database Development,29-11-12
                    Communications Assistant,Telecommunications,29-11-12
                    Communications Assistant,Telecommunications,29-11-12
                    Communications Assistant,Telecommunications,29-11-12
                    Communications Assistant,Telecommunications,29-11-12
                    Communications Assistant,Telecommunications,29-11-12
                    Communications Assistant,Telecommunications,29-11-12
                    Communications Assistant,Telecommunications,29-11-12
                    Communications Assistant,Telecommunications,29-11-12
                    Communications Assistant,Telecommunications,29-11-12
                    Communications Assistant,Telecommunications,29-11-12
                   Engineering Manager,Developer,22-11-12
                    Chief Engineer,Developer,22-11-12
                   Aerospace Technician,Engineering,22-11-12
                    Software Developer - Security Applications,Developer,22-11-12
                    ICT Solutions Architect,Architects,22-11-12
                   Web Developer,Developer,22-11-12
                     IT Security Administrator,Engineering,22-11-12
                    Head of Visitor Services and Front of House,Developer,22-11-12
                    Head of Visitor Services and Front of House,Developer,22-11-12
                    Head of Visitor Services and Front of House,Developer,22-11-12
                    Head of Visitor Services and Front of House,Developer,22-11-12
                    Head of Visitor Services and Front of House,Developer,22-11-12
                    Head of Visitor Services and Front of House,Developer,22-11-12
                    Head of Visitor Services and Front of House,Developer,22-11-12
                    Head of Visitor Services and Front of House,Developer,22-11-12
