JobTitle,Classification,JobType,Location,Salary,Level,Date,Description
                    Contact Centre Co-ordination Manager, Help Desk and Support,                      Ongoing,                     Canberra  | ACT,"                       $89,964 - $105,406",              Executive Level 2,categorized-2007-08-09,"Job Description:Duties
The Workplace Authority is the central point of contact for free advice and information on Australias workplace relations system 
for employees and employers. The Workplace Authority also accepts lodgements of agreements and assesses whether they 
pass the Fairness Test. With a high performance culture, commitment to continuous learning and a focus on superior customer 
service, the Workplace Authority is a challenging and rewarding environment in which to grow your career.
The Workplace Authority is currently seeking an outstanding Contact Centre Co-ordination Manager, in this role you will be a 
part of Knowledge Services and develop skills within a dynamic environment.
For a detailed description of this role, including a detailed position profile and to apply online please visit 
www.workplaceauthority.gov.au/aboutus"
                     Federal Collective Agreements Support Officer/s, Management,                       Ongoing,"                      Sydney, Melbourne, Canberra | Other","                        $50,533 - $54,912",               APS Level 4,categorized-2007-08-09,"Job Description:Duties
The Workplace Authority is the central point of contact for free advice and information on Australias workplace relations system 
for employees and employers. The Workplace Authority also accepts lodgements of agreements and assesses whether they 
pass the Fairness Test. With a high performance culture, commitment to continuous learning and a focus on superior customer 
service, the Workplace Authority is a challenging and rewarding environment in which to grow your career.
The Workplace Authority is currently seeking an outstanding Federal Collective Agreements Support Officer, in this role you will 
be a part of Knowledge Services and develop skills within a dynamic environment.
For a detailed description of this role, including a detailed position profile and to apply online please visit 
www.workplaceauthority.gov.au/aboutus"
                     Federal Collective Agreements Support Officer/s, Management,                       Ongoing,"                      Sydney, Melbourne, Canberra | Other","                        $50,533 - $54,912",               APS Level 4,categorized-2007-08-09,"Job Description:Duties
The Workplace Authority is the central point of contact for free advice and information on Australias workplace relations system 
for employees and employers. The Workplace Authority also accepts lodgements of agreements and assesses whether they 
pass the Fairness Test. With a high performance culture, commitment to continuous learning and a focus on superior customer 
service, the Workplace Authority is a challenging and rewarding environment to grow your career.
An exciting opportunity exists for a motivated Workplace Relations Advisor. In this role you will provide the full range of Client 
Relations activities, including providing education, assistance and advice to employees, employers and organisations in relation 
to their rights and obligations under the Workplace Relations Act. 
Your specific responsibilities will include:
* Promoting and representing the Workplace Authority, its services and products through targeted activities, including 
presentations to medium and large sized groups. * Providing one-on-one advice and assistance to employers and employees. * 
Developing mutually beneficial external relationships. * Undertaking pre-lodgement reviews of workplace agreements to 
determine if they meet the Fairness Test. * Involvement in the development of a range of products and services to assist 
employers and employees with agreement making. * Working closely with the Client Relations Managers, as required, to lead 
employees in undertaking the duties of the team.
Eligibility
You will have demonstrated superior communication skills, a comprehensive understanding of workplace relations and 
economic environments, demonstrated ability to manage conflict, problem solving and leadership skills. Tertiary qualifications or 
equivalent experience in law, industrial relations, Human Resource Management or a related field, and a current drivers licence 
are desirable."
                     Workplace Relations Advisor, Consultants,                       Ongoing,                      Sydney | NSW,"                        $50,533 - $69,985",               APS Level 4,categorized-2007-08-09,"Job Description:Duties
The Workplace Authority is the central point of contact for free advice and information on Australias workplace relations system 
for employees and employers. The Workplace Authority also accepts lodgements of agreements and assesses whether they 
pass the Fairness Test. With a high performance culture, commitment to continuous learning and a focus on superior customer 
service, the Workplace Authority is a challenging and rewarding environment to grow your career.
An exciting opportunity exists for a motivated Workplace Relations Advisor. In this role you will provide the full range of Client 
Relations activities, including providing education, assistance and advice to employees, employers and organisations in relation 
to their rights and obligations under the Workplace Relations Act. 
Your specific responsibilities will include:
* Promoting and representing the Workplace Authority, its services and products through targeted activities, including 
presentations to medium and large sized groups. * Providing one-on-one advice and assistance to employers and employees. * 
Developing mutually beneficial external relationships. * Undertaking pre-lodgement reviews of workplace agreements to 
determine if they meet the Fairness Test. * Involvement in the development of a range of products and services to assist 
employers and employees with agreement making. * Working closely with the Client Relations Managers, as required, to lead 
employees in undertaking the duties of the team.
Eligibility
You will have demonstrated superior communication skills, a comprehensive understanding of workplace relations and 
economic environments, demonstrated ability to manage conflict, problem solving and leadership skills. Tertiary qualifications or 
equivalent experience in law, industrial relations, Human Resource Management or a related field, and a current drivers licence 
are desirable."
                     Workplace Relations Advisor, Consultants,                       Ongoing,                      Sydney | NSW,"                        $50,533 - $69,985",               APS Level 4,categorized-2007-08-09,"Job Description:Duties
The Workplace Ombudsman (WO) is assisted by over 280 staff and inspectors across 26 locations nationwide. The 
Ombudsman and his office are responsible for compliance with Federal workplace law. We incorporate and build on the work 
and services previously undertaken by the Office of Workplace Services (OWS).
As a Workplace Inspector, you'll research and investigate complaints about working conditions, liaise with legal representatives 
and provide employers and workers with the information they need to help them understand their rights and obligations.  We're 
looking for people who possess an interest in what's happening in the Australian workplace."
                    Legal Officer (APS 6), Legal,                      Ongoing,                     Perth | WA,"                       $48,000 - $70,000",              OWS Broadband 2 (APS 4 - APS 6),categorized-2007-08-09,"Job Description:Duties
The Workplace Ombudsman (WO) and his office are responsible for compliance with Federal workplace law. We incorporate 
and build on the work and services previously undertaken by the Office of Workplace Services (OWS).  The role of the 
Workplace Ombudsman is to impartially assist and enforce compliance with Commonwealth workplace laws including the 
Workplace Relations Act 1996, the Independent Contractors Act 2006 and associated regulations. We are seeking motivated 
legal staff with an interest in workplace relations, who would like to work in a challenging and dynamic environment. We 
encourage applications from people with a variety of backgrounds, including applicants from the private sector and those with 
different levels of experience in workplace relations.
Eligibility
A degree in Law is essential. Admission as a legal practitioner in the High Court of Australia or a Supreme Court of a State or 
Territory of Australia is desirable."
                    Administration Manager, Administration,                      Ongoing,                     Melbourne | VIC,"                       $53,000 - $60,000",              OWS Broadband 2 (APS5),categorized-2007-08-09,"Job Description:Duties
The Workplace Ombudsman (WO) is assisted by over 280 staff and inspectors across 26 locations nationwide. The 
Ombudsman and his office are responsible for compliance with Federal workplace law. We incorporate and build on the work 
and services previously undertaken by the Office of Workplace Services (OWS).
The role of the Workplace Ombudsman is to impartially assist and enforce compliance with Commonwealth workplace laws 
including the Workplace Relations Act 1996, the Independent Contractors Act 2006 and associated regulations.
A vacancy exists for an Administration Manager in our Melbourne Office. The successful applicant will have a busy and varied 
day including reviewing and improving office procedures, liaising with Regional Victorian offices to assist with their 
administrative needs and ensuring that out Workplace Inspectors have the support they need to successfully carry out their 
duties."
                    Principal Legal Officer, Legal,                      Ongoing,                     Perth | WA,"                       $90,000 - $106,000",              OWS Broadband 3 (EL2),categorized-2007-08-09,"Job Description:Duties
The Workplace Ombudsman (WO) and his office are responsible for compliance with Federal workplace law. We incorporate 
and build on the work and services previously undertaken by the Office of Workplace Services (OWS).  The role of the 
Workplace Ombudsman is to impartially assist and enforce compliance with Commonwealth workplace laws including the 
Workplace Relations Act 1996, the Independent Contractors Act 2006 and associated regulations. We are seeking motivated 
staff with an interest in workplace relations, who would like to work in a challenging and dynamic environment. We encourage 
applications from people with a variety of backgrounds, including applicants from the private sector and those with different 
levels of experience in workplace relations.
Eligibility
A degree in Law is essential. Admission as a legal practitioner in the High Court of Australia or a Supreme Court of a State or 
Territory of Australia is desirable."
"                     Director, Client Service Centre", Consultants,                       Ongoing,                      Adelaide | SA,"                        $90,000 - $106,000",               OWS Broadband 3 (EL2),categorized-2007-08-09,"Job Description:Duties
The Workplace Ombudsman (WO) is assisted by over 280 staff and inspectors across 26 locations nationwide. The 
Ombudsman and his office are responsible for compliance with Federal workplace law. We incorporate and build on the work 
and services previously undertaken by the Office of Workplace Services (OWS).
The role of the Workplace Ombudsman is to impartially assist and enforce compliance with Commonwealth workplace laws 
including the Workplace Relations Act 1996, the Independent Contractors Act 2006 and associated regulations.
The Client Service Centre (CSC) is a new function, following the introduction of the Fairness Test, and will be the primary client 
service area for the Workplace Ombudsman.  The centre will be staffed be a team of workplace inspectors who will conduct 
investigations to ensure employees have received their correct entitlements.  The centre will also be the first point of contact for 
all client telephone and email enquiries.  The successful applicant will be responsible for the effective running of the centre and 
contributing to policy development. This is an exciting opportunity to play a key role in the establishment of this new centre."
                     Property Officer, Management,                       Ongoing,                      Kingston | TAS,"                        $51,664 - $54,810",               APS Level 4,categorized-2007-08-09,"Job Description:Duties
The Property Officer will be responsible for the delivery of corrective maintenance, grounds maintenance and other property 
services to Australian Antarctic Division (AAD) clients utilising a computerised facilities management system.  As well, the 
position is responsible for undertaking tasks and projects associated with the environmental management of the AAD Kingston 
site and maintaining the accounts and budgets for the Supply Chain and Facilities Management Group, including reporting on 
budget performance.
Eligibility
Mandatory and job specific criteria apply.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
                    Observer (expected employment opportunity), Testing and Quality,                      Ongoing,                     Western Australia Region | WA,"                       $55,953 - $60,432",              APS Level 5,categorized-2007-08-09,"Job Description:Duties
Control the work and staff of the Broome Meteorological Information Office and supervise the prescribed observations program 
and associated tasks.  Participate in and review the adequacy of the observations program.  Promote the provision of 
meteorological services and Bureau products as appropriate.
Eligibility
An associate diploma from an Australian educational institution, or a comparable overseas qualification, which is appropriate to 
the duties; Or relevant experience and training, which enables the employee to competently perform the duties at this level;Or 
other comparable qualifications, which are appropriate to the duties.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer.
About Bureau of Meteorology
The Bureau of Meteorology is an Equal Opportunity Employer. Applicants who are Aboriginal or Torres Strait Islander descent, 
come from non-English speaking backgrounds or have a disability may wish to indicate this in their application so that the 
selection advisory committee can be appropriately structured. We are looking for highly qualified/experienced people who are 
interested in working in a dynamic organisation that offers a challenging work environment and excellent opportunities for 
development and advancement. Please note, unfortunately we are not able to acknowledge applications on receipt."
                    Observer (expected employment opportunity), Testing and Quality,                      Ongoing,                     Western Australia Region | WA,"                       $55,953 - $60,432",              APS Level 5,categorized-2007-08-09,"Job Description:Duties
Coordinate the enhancement and maintenance of the Online System for Comprehensive Activity Report (OSCAR) application to 
facilitate implementation of greenhouse policies and programmes.  Manage the design, planning and implementation of 
integrations into OSCAR, including assisting with the analysis of business requirements and development of functional user 
specifications.  Establish and maintain stakeholder relationships, and represent the Department.  Liaise and provide advice to 
on-line reporting users, including businesses and government agencies, and external IT contractors.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
                    Observer (expected employment opportunity), Testing and Quality,                      Ongoing,                     Western Australia Region | WA,"                       $55,953 - $60,432",              APS Level 5,categorized-2007-08-09,"Job Description:Duties
Provide analytically sound, strategic and balanced policy advice to Government.  Manage a small team to deliver the 
achievement of policy/programme objectives.  Produce high quality written material and demonstrate strong communication and 
interpersonal  skills.  Develop and maintain stakeholder relationships and effectively represent the organisation.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
                    Observer (expected employment opportunity), Testing and Quality,                      Ongoing,                     Western Australia Region | WA,"                       $55,953 - $60,432",              APS Level 5,categorized-2007-08-09,"Job Description:Duties
Participate in projects to develop appropriate responses to Information and Communication Technology (ICT) needs of the 
Department. Identify requirements, prepare technical specifications and documents, and liaise with stakeholders to support 
implementation of high-quality IT project outcomes.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
                    Observer (expected employment opportunity), Testing and Quality,                      Ongoing,                     Western Australia Region | WA,"                       $55,953 - $60,432",              APS Level 5,categorized-2007-08-09,"Job Description:Duties
Participate in projects to develop appropriate responses to Information and Communication Technology (ICT) needs of the 
Department. Identify requirements, prepare technical specifications and documents, and liaise with stakeholders to contribute to 
high-quality IT project outcomes.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
                    Observer (expected employment opportunity), Testing and Quality,                      Ongoing,                     Western Australia Region | WA,"                       $55,953 - $60,432",              APS Level 5,categorized-2007-08-09,"Job Description:Duties
Contribute to the development and delivery of the Greenhouse Friendly Initiative.  Manage both carbon neutral certification 
processes and offset project approvals, provide technical and policy advice to external stakeholders, contribute to the corporate 
operations of the team.  Produce high quality written material and effectively represent the organisation.
Build effective relationships with government, industry, community and other stakeholders in a high performance environment.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
                    Observer (expected employment opportunity), Testing and Quality,                      Ongoing,                     Western Australia Region | WA,"                       $55,953 - $60,432",              APS Level 5,categorized-2007-08-09,"Job Description:Duties
Assist and support in coordinating and implementing policy and program management activities administered by the Australian 
Government Natural Resource Management Team. Assist in the financial management and record keeping for Natural Heritage 
Trust and National Action Plan for Salinity and Water Quality investment.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
                    Observer (expected employment opportunity), Testing and Quality,                      Ongoing,                     Western Australia Region | WA,"                       $55,953 - $60,432",              APS Level 5,categorized-2007-08-09,"Job Description:Duties
Undertake evaluations of agricultural, veterinary or industrial chemicals for their potential risks to the environment which 
requires evaluation of studies on chemical fate and ecotoxicity, risk assessment based on predicted environmental 
concentrations, and the preparation of recommendations for control measures to minimise those risks. Undertake 
representation and liaison functions.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
                    Observer (expected employment opportunity), Testing and Quality,                      Ongoing,                     Western Australia Region | WA,"                       $55,953 - $60,432",              APS Level 5,categorized-2007-08-09,"Job Description:Duties
Administration and coordination of Australian Greenhouse Office (AGO) Grants Database including reporting and analysis.  
Maintain appropriate financial records and ensure compliance with Government reporting and regulatory requirements.  
Undertake complex management support tasks and projects as required.  Maintain in-house database, develop and maintain 
system documentation and user manuals and provide training. 
Liaise with business areas of various levels and coordinate AGO financial activities across AGO and DEW.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
                    Observer (expected employment opportunity), Testing and Quality,                      Ongoing,                     Western Australia Region | WA,"                       $55,953 - $60,432",              APS Level 5,categorized-2007-08-09,"Job Description:Duties
Develop, implement and evaluate communication strategies and campaigns for the environment and heritage portfolio, in 
consultation with directors and line areas. Develop and implement issues management strategies, including media liaison.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
                    Observer (expected employment opportunity), Testing and Quality,                      Ongoing,                     Western Australia Region | WA,"                       $55,953 - $60,432",              APS Level 5,categorized-2007-08-09,"Job Description:Duties
Develop and implement communications and education strategies to promote the Governments environment programs. Advise 
program areas on communications activities including media opportunities and issues management.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
                     Policy Officers, Administration,                       Ongoing,                      Kingston | TAS,"                        $61,688 - $69,795",               APS Level 6,categorized-2007-08-09,"Job Description:Duties
As part of a team provide high level of science and information management or natural resource management advice and 
implementation relevant to the Marine and Biodiversity Division. Communicate effectively with a wide range of stakeholders on 
marine science, information, and policy issues relevant to the Marine and Biodiversity Division.  Represent the Marine and 
Biodiversity Division in negotiations, meetings with Government and non-government stakeholders. Provide high quality written 
and oral advice on policy issues relevant to the position and within the Division. Provide support and input to budget/financial, 
administrative and business planning.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
                     Policy Officers, Administration,                       Ongoing,                      Kingston | TAS,"                        $61,688 - $69,795",               APS Level 6,categorized-2007-08-09,"Job Description:Duties
Assist and support in coordinating and implementing policy and program management activities administered by the Australian 
Government Natural Resource Management Team. Contribute to the management of projects and contracts including 
maintaining up to date records in Program Administrator, managing contract variations and assisting with section finances.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
                    Permit Application Assessor, Developer,"                      Ongoing,  Full-time",                     Townsville | QLD,"                       $52,496 - $56,821",              APS Level 4,categorized-2007-08-09,"Job Description:Duties
Prepare environmental impact assessments for proposed activities (particularly tourism) in and adjacent to the Great Barrier 
Reef Marine Park.  Prepare permits and exercise delegations related to processing permit application to conduct activities in the 
Marine Park.  Assist in the review of impact management strategies for permitted activities and with the development and review 
of policy and procedures for environmental impact management and permissions.
Eligibility
Tertiary qualifications in natural resource management or a related discipline would be an advantage.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
                     Legal Officer (expected employment opportunity), Legal,"                       Ongoing,  Full-time",                      Townsville | QLD,"                        $64,328 - $71,848",               APS Level 6,categorized-2007-08-09,"Job Description:Duties
The primary focus of this position is: provision of legal advice; assisting with the development and implementation of policy; 
drafting and reviewing contracts and other documents; and assisting with the Authoritys legislative program.  The position may 
also be required to assist with the management of the Authoritys litigation and provide legal awareness training.
Eligibility
a.	A degree in laws from an Australian tertiary institution.
b.	Admission as a practitioner of the Supreme Court of a State or Territory.
c.	A minimum of two (2) years post admission experience is essential.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
                     Project Manager - Contracts, Management,"                       Non-ongoing (Temporary),  Full-time",                      Townsville | QLD,"                        $58,315 - $71,848","               APS Level 5, APS Level 6",categorized-2007-08-09,"Job Description:Duties
The position will provide facilitation of contract material to support the achievement of objectives of the Water Quality and 
Coastal Development Group Strategic Work Programme.  
The two projects the position will be responsible for driving include:
·	Identifying and promoting Local Government actions to implement the Reef Plan;
·	Waste oil management strategy for the Great Barrier Reef catchment.
Eligibility
1. A degree in Environmental or Natural Resource Management, Contract Law, Communications or a related discipline from a 
tertiary institution.
2. An appropriate manual class driving licence.
3. Ability to undertake travel including driving within regional Queensland and inter-state.
About Environment and Water Resources
The Department of the Environment and Water Resources is the Commonwealth Government's major environment agency, and 
is responsible for achieving the government's environmental objectives, domestically and internationally.
The Department of The Environment and Water Resources is an Equal Opportunity Employer.  Applicants who are of Aboriginal 
or Torres Strait Islander descent, come from non-English speaking backgrounds or have a disability may wish to indicate this in 
their application so that the selection advisory committee can be appropriately structured. We are looking for highly 
qualified/experienced people who are interested in working in a dynamic organisation that offers a challenging work evironment 
and excellent opportunities for development and advancement.  
Applications will not be acknowledged on receipt. Only shortlisted applicants will be contacted regarding the next phase in the 
selection process. To those applicants who are not shortlisted, we extend our thanks for considering the department as a 
potential employer."
